date,symbol,margin_balance,short_balance,day_trade_volume,total_volume
2026-07-13,1466,3096.0,,,2081519.0
2026-07-13,1467,6299.0,,,633524.0
2026-07-13,1470,6.0,,,2010.0
2026-07-13,1472,3901.0,,,30576.0
2026-07-13,1473,853.0,,,63480.0
2026-07-13,1474,3371.0,,,75421.0
2026-07-13,1475,448.0,,,7013.0
2026-07-13,1476,926.0,,,1453091.0
2026-07-13,1477,1713.0,,,1956911.0
2026-07-13,1503,3430.0,,,2143893.0
2026-07-13,1504,32697.0,,,12000348.0
2026-07-13,1513,8545.0,,,3187925.0
2026-07-13,1514,6697.0,,,3529449.0
2026-07-13,1515,3366.0,,,1946655.0
2026-07-13,1516,2.0,,,37736.0
2026-07-13,1517,1684.0,,,181084.0
2026-07-13,1519,3897.0,,,1812399.0
2026-07-13,1521,440.0,,,43125.0
2026-07-13,1522,4435.0,,,351636.0
2026-07-13,1524,4624.0,,,285064.0
2026-07-13,1525,235.0,,,1006.0
2026-07-13,1526,582.0,,,38462.0
2026-07-13,1527,600.0,,,126997.0
2026-07-13,1528,7495.0,,,1183271.0
2026-07-13,1529,2959.0,,,979336.0
2026-07-13,1530,297.0,,,56510.0
2026-07-13,1531,1742.0,,,271610.0
2026-07-13,1532,2758.0,,,266520.0
2026-07-13,1533,570.0,,,279975.0
2026-07-13,1535,65.0,,,56991.0
2026-07-13,1536,9499.0,,,13866421.0
2026-07-13,1537,59.0,,,41133.0
2026-07-13,1539,1315.0,,,199690.0
2026-07-13,1540,1723.0,,,272017.0
2026-07-13,1541,117.0,,,10098.0
2026-07-13,1558,257.0,,,39588.0
2026-07-13,1560,1528.0,,,828947.0
2026-07-13,1563,6893.0,,,2633251.0
2026-07-13,1568,5171.0,,,883758.0
2026-07-13,1582,4794.0,,,653888.0
2026-07-13,1583,84.0,,,21266.0
2026-07-13,1587,2042.0,,,427387.0
2026-07-13,1589,802.0,,,
2026-07-13,1590,134.0,,,542087.0
2026-07-13,1597,3962.0,,,618520.0
2026-07-13,1598,2158.0,,,47747.0
2026-07-13,1603,2105.0,,,168025.0
2026-07-13,1604,267.0,,,348185.0
2026-07-13,1605,58242.0,,,13913670.0
2026-07-13,1608,8163.0,,,1395370.0
2026-07-13,1609,13999.0,,,8557139.0
2026-07-13,1611,3324.0,,,477634.0
2026-07-13,1612,1884.0,,,805285.0
2026-07-13,1614,358.0,,,25669.0
2026-07-13,1615,185.0,,,592512.0
2026-07-13,1616,3247.0,,,843702.0
2026-07-13,1617,2755.0,,,963586.0
2026-07-13,1618,3836.0,,,2375703.0
2026-07-13,1626,1682.0,,,44620.0
2026-07-13,1702,319.0,,,408657.0
2026-07-13,1707,348.0,,,469872.0
2026-07-13,1708,7641.0,,,7217696.0
2026-07-13,1709,7089.0,,,3856734.0
2026-07-13,1710,8776.0,,,10534789.0
2026-07-13,1711,21114.0,,,4317432.0
2026-07-13,1712,461.0,,,325316.0
2026-07-13,1713,2949.0,,,138313.0
2026-07-13,1714,19356.0,,,22712064.0
2026-07-13,1717,22821.0,,,16515419.0
2026-07-13,1718,19426.0,,,13045096.0
2026-07-13,1720,335.0,,,137648.0
2026-07-13,1721,127.0,,,2040325.0
2026-07-13,1722,2831.0,,,1567277.0
2026-07-13,1723,739.0,,,851425.0
2026-07-13,1725,313.0,,,217831.0
2026-07-13,1726,29.0,,,30049.0
2026-07-13,1727,9073.0,,,2424545.0
2026-07-13,1730,17.0,,,110337.0
2026-07-13,1731,315.0,,,79267.0
2026-07-13,1732,598.0,,,408949.0
2026-07-13,1733,2592.0,,,196988.0
2026-07-13,1734,554.0,,,210177.0
2026-07-13,1735,809.0,,,134171.0
2026-07-13,1736,1976.0,,,292094.0
2026-07-13,1737,22.0,,,85872.0
2026-07-13,1752,332.0,,,45176.0
2026-07-13,1760,1094.0,,,235631.0
2026-07-13,1762,695.0,,,351720.0
2026-07-13,1773,1288.0,,,473719.0
2026-07-13,1776,849.0,,,125596.0
2026-07-13,1783,609.0,,,104359.0
2026-07-13,1786,5112.0,,,432478.0
2026-07-13,1789,3566.0,,,612642.0
2026-07-13,1795,8934.0,,,3479574.0
2026-07-13,1802,52280.0,,,27762751.0
2026-07-13,1805,1408.0,,,101428.0
2026-07-13,1806,3093.0,,,226581.0
2026-07-13,1808,5864.0,,,299357.0
2026-07-13,1809,7594.0,,,2062683.0
2026-07-13,1810,21884.0,,,12930574.0
2026-07-13,1817,17.0,,,19436.0
2026-07-13,1903,2625.0,,,63332.0
2026-07-13,1904,4909.0,,,3457396.0
2026-07-13,1905,11027.0,,,3469656.0
2026-07-13,1906,7332.0,,,31538.0
2026-07-13,1907,24314.0,,,5994203.0
2026-07-13,1909,8658.0,,,7473023.0
2026-07-13,2002,47291.0,,,25520735.0
2026-07-13,2006,1133.0,,,3296194.0
2026-07-13,2007,5.0,,,209931.0
2026-07-13,2008,129.0,,,15044.0
2026-07-13,2009,6895.0,,,814325.0
2026-07-13,2010,2162.0,,,796849.0
2026-07-13,2012,193.0,,,139495.0
2026-07-13,2013,1438.0,,,98111.0
2026-07-13,2014,1850.0,,,1848548.0
2026-07-13,2015,39.0,,,313717.0
2026-07-13,2017,8359.0,,,388242.0
2026-07-13,2020,819.0,,,159501.0
2026-07-13,2022,1018.0,,,433431.0
2026-07-13,2023,2657.0,,,1442421.0
2026-07-13,2024,67.0,,,13450.0
2026-07-13,2027,29808.0,,,10877312.0
2026-07-13,2028,1205.0,,,39575.0
2026-07-13,2029,427.0,,,143540.0
2026-07-13,2030,4160.0,,,647362.0
2026-07-13,2031,1053.0,,,492857.0
2026-07-13,2032,2643.0,,,194271.0
2026-07-13,2033,2745.0,,,58050.0
2026-07-13,2034,4160.0,,,1173602.0
2026-07-13,2038,4044.0,,,165299.0
2026-07-13,2049,3713.0,,,1971698.0
2026-07-13,2059,471.0,,,684195.0
2026-07-13,2062,1404.0,,,112361.0
2026-07-13,2069,581.0,,,150100.0
2026-07-13,2101,23174.0,,,2305189.0
2026-07-13,2102,3892.0,,,228158.0
2026-07-13,2103,15843.0,,,7574618.0
2026-07-13,2104,20720.0,,,3736633.0
2026-07-13,2105,9347.0,,,5994738.0
2026-07-13,2106,2989.0,,,603013.0
2026-07-13,2107,104.0,,,236894.0
2026-07-13,2108,2893.0,,,655592.0
2026-07-13,2109,668.0,,,78326.0
2026-07-13,2114,10.0,,,38998.0
2026-07-13,2115,548.0,,,46185.0
2026-07-13,2201,10287.0,,,1301528.0
2026-07-13,2204,1115.0,,,616500.0
2026-07-13,2206,4606.0,,,708674.0
2026-07-13,2207,85.0,,,244800.0
2026-07-13,2211,413.0,,,315777.0
